school_name,Column
Notre Dame,368
Kansas,416
Oklahoma,1033
Texas,1312
TCU,1316
West Virginia,1433
Illinois,302
Indiana,360
 Iowa,394
Michigan-Ann Arbor,606
Minnesota,635
Northwestern,321
Ohio State,999
Penn State,1134
Purdue,1471
Rutgers,765
Arizona,36
California,82
Colorado,144
Oregon,1051
UCLA,85
USC,137
Utah,1337
Washington,1413
Alabama,6
Arkansas,44
Auburn,9
Florida,211
Georgia,252
Kentucky,443
LSU,463
Mississippi,659
Missouri,685
Tennessee ,1251
Texas A&M,1310
Georgia Tech,247
Louisville,446
North Carolina,931
Virginia,1392
Virginia Tech,1390